"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1303","6/22/16","20","Male","Black","Gunshot","Vehicle","Birmingham","AL","35210",33.546051,-86.66963
"1304","3/10/15","53","Male","White","Gunshot","Allegedly Armed","Birmingham","AL","35226",33.406409,-86.8295
"1305","6/9/16","34","Male","White","Gunshot","Unclear","Birmingham","AL","35233",33.509623,-86.7997
"1306","1/14/16","31","Male","White","Vehicle","Vehicle","Birmingham","AL","35233",33.509623,-86.7997
"1307","7/10/15","35","Male","Black","Pepper Spray","Allegedly Armed","Tuscaloosa","AL","35404",33.217168,-87.49461
"1308","8/20/15","50","Male","White","Gunshot","Unarmed","Tuscaloosa","AL","35404",33.217168,-87.49461
"1309","7/30/13","29","Male","Unknown race","Vehicle","Unarmed","Tuscaloosa","AL","35405",33.149246,-87.52303
"1310","6/9/14","48","Male","Black","Gunshot","Allegedly Armed","Tuscaloosa","AL","35406",33.271585,-87.50611
"1311","7/29/13","29","Male","Black","Gunshot","Allegedly Armed","Hamilton","AL","35570",34.149717,-88.00384
"1312","7/29/13","","Male","Black","Gunshot","Allegedly Armed","Winfield","AL","35594",33.925454,-87.78949
"1313","6/2/15","51","Male","Black","Vehicle","Vehicle","Falkville","AL","35622",34.340484,-86.89176
"1314","8/10/13","31","Male","White","Gunshot","Allegedly Armed","Florence","AL","35633",34.898897,-87.77379
"1315","11/6/14","71","Male","Unknown race","Vehicle","Unarmed","Hartselle","AL","35640",34.442184,-86.94027
"1316","3/19/15","39","Male","White","Gunshot","Allegedly Armed","Moulton","AL","35650",34.496476,-87.27802
"1317","10/4/15","27","Male","White","Gunshot","Allegedly Armed","Muscle Shoals","AL","35661",34.759947,-87.62705
"1318","8/13/14","35","Male","White","Gunshot","Allegedly Armed","Muscle Shoals","AL","35661",34.759947,-87.62705
"1319","8/9/13","57","Male","White","Gunshot","Allegedly Armed","Madison","AL","35758",34.715065,-86.73964
"1320","1/20/16","33","Male","White","Gunshot","Allegedly Armed","Meridianville","AL","35759",34.863236,-86.56137
"1321","1/29/13","31","Male","Unknown race","Gunshot","Allegedly Armed","Section","AL","35771",34.546397,-85.98279
"1322","6/13/13","17","Male","Unknown race","Beaten","Allegedly Armed","Huntsville","AL","35801",34.72879,-86.57316
"1323","4/4/14","52","Male","White","Gunshot","Allegedly Armed","Huntsville","AL","35801",34.72879,-86.57316
"1324","10/7/14","34","Male","Black","Gunshot","Allegedly Armed","Huntsville","AL","35801",34.72879,-86.57316
"1325","9/17/16","45","Male","Unknown race","Gunshot","Unarmed","Huntsville","AL","35802",34.666041,-86.55929
"1326","5/25/15","38","Male","Black","Gunshot","Allegedly Armed","Huntsville","AL","35803",34.603017,-86.54293
"1327","5/31/15","45","Male","Black","Death in Custody","Unarmed","Huntsville","AL","35806",34.748066,-86.68317
"1328","11/27/13","28","Male","Black","Gunshot","Unarmed","Huntsville","AL","35816",34.73969,-86.62464
"1329","6/18/16","34","Male","White","Gunshot","Allegedly Armed","Huntsville","AL","35816",34.73969,-86.62464
"1330","1/17/16","38","Male","White","Gunshot","Allegedly Armed","Rainbow City","AL","35906",33.943964,-86.06154
"1331","2/28/16","41","Male","White","Gunshot","Allegedly Armed","Ashville","AL","35953",33.825516,-86.24231
"1332","3/19/13","35","Male","Unknown race","Gunshot","Allegedly Armed","Deatsville","AL","36022",32.612619,-86.39497
"1333","2/23/15","18","Male","Black","Gunshot","Allegedly Armed","Elmore","AL","36025",32.538878,-86.33358
"1334","10/15/13","26","Male","Black","Gunshot","Vehicle","Eufaula","AL","36027",31.876168,-85.17362
"1335","6/4/16","35","Male","Black","Gunshot","Allegedly Armed","Eufaula","AL","36027",31.876168,-85.17362
"1336","2/25/16","56","Male","Black","Gunshot","Unarmed","Montgomery","AL","36108",32.353188,-86.36037
"1337","4/22/14","53","Male","White","Gunshot","Unarmed","Anniston","AL","36201",33.658803,-85.85178
"1338","1/18/13","50","Male","White","Gunshot","Allegedly Armed","Anniston","AL","36203",33.591301,-85.83571
"1339","5/28/16","50","Male","Unknown race","Gunshot","Unclear","Eastaboga","AL","36260",33.593189,-85.99551
"1340","11/11/14","26","Male","White","Gunshot","Allegedly Armed","Jacksonville","AL","36265",33.824496,-85.77037
"1341","3/13/16","26","Male","White","Gunshot","Allegedly Armed","Piedmont","AL","36272",33.948018,-85.61491
"1342","12/30/14","30","Male","White","Gunshot","Unarmed","Dothan","AL","36303",31.249042,-85.40605
"1343","5/12/14","39","Male","White","Gunshot","Allegedly Armed","Ashford","AL","36312",31.178688,-85.2429
"1344","2/4/13","65","Male","White","Gunshot","Allegedly Armed","Midland City","AL","36350",31.319083,-85.48718
"1345","10/14/13","83","Male","White","Gunshot","Allegedly Armed","Ozark","AL","36360",31.447119,-85.62908
"1346","10/14/15","57","Male","Black","Gunshot","Allegedly Armed","Evergreen","AL","36401",31.461019,-86.96271
"1347","7/16/15","29","Male","White","Gunshot","Allegedly Armed","Opp","AL","36467",31.280048,-86.25484
